pop_size,max_iter,max_r,path_size,rep,fitness,path_length,collisions,iterations,runtime
10,500,40,2,4,1484.8959980177694,1484.8959980177694,0,500,1.333052635192871
10,500,40,2,5,1535.3217478122378,1535.3217478122378,0,500,1.3355262279510498
10,500,40,3,1,4635.7155291897425,2635.7155291897425,1,500,1.7640061378479004
10,500,40,3,2,3595.0556233825505,1595.0556233825505,1,500,1.6320958137512207
10,500,40,3,3,1427.4473978826682,1427.4473978826682,0,500,1.669996738433838
10,500,40,3,4,1423.9991741362333,1423.9991741362333,0,500,1.7875325679779053
10,500,40,3,5,1683.8000213052035,1683.8000213052035,0,500,1.5108826160430908
10,500,60,2,1,1714.6711062238562,1714.6711062238562,0,500,1.4589686393737793
10,500,60,2,2,1970.9563960870532,1970.9563960870532,0,500,1.331568956375122
10,500,60,2,3,1692.1628364463218,1692.1628364463218,0,500,1.4334335327148438
10,500,60,2,4,3428.1413678268063,1428.1413678268061,2,500,1.4994902610778809
10,500,60,2,5,1414.8628932126721,1414.8628932126721,0,500,1.3120512962341309
10,500,60,3,1,3920.999195221979,1920.999195221979,1,500,1.7957773208618164
10,500,60,3,2,1448.5290732725143,1448.5290732725143,0,500,1.7716286182403564
10,500,60,3,3,1458.8259690355555,1458.8259690355555,0,500,1.7445013523101807
10,500,60,3,4,1815.3362004716744,1815.3362004716744,0,500,1.7957191467285156
10,500,60,3,5,1723.1683215986775,1723.1683215986775,0,500,1.7073731422424316
20,200,30,2,1,1542.3427045280077,1542.3427045280077,0,200,0.4946892261505127
20,200,30,2,2,1414.789399861301,1414.789399861301,0,200,0.5062057971954346
20,200,30,2,3,1415.5940906795236,1415.5940906795236,0,200,0.7532711029052734
20,200,30,2,4,1414.317277901439,1414.317277901439,0,200,0.4990222454071045
20,200,30,2,5,1772.6052181934992,1772.6052181934992,0,200,0.48184943199157715
20,200,30,3,1,3483.920997948229,1483.920997948229,2,200,0.7973361015319824
20,200,30,3,2,2188.623380062054,2188.623380062054,0,200,0.6827089786529541
20,200,30,3,3,1626.2705869068627,1626.2705869068627,0,200,0.6445081233978271
20,200,30,3,4,1628.2240069625716,1628.2240069625716,0,200,0.7478971481323242
20,200,30,3,5,3422.9943851971007,1422.9943851971007,1,200,0.7847409248352051
20,200,40,2,1,1587.8767758003441,1587.8767758003441,0,200,0.692786693572998
20,200,40,2,2,1417.0745305413323,1417.0745305413323,0,200,0.5312504768371582
20,200,40,2,3,1548.320009899613,1548.320009899613,0,200,0.4801802635192871
20,200,40,2,4,1529.5239634703623,1529.5239634703623,0,200,0.6224777698516846
20,200,40,2,5,1509.8338585091446,1509.8338585091446,0,200,0.6459009647369385
20,200,40,3,1,1601.92880511308,1601.92880511308,0,200,0.5862493515014648
20,200,40,3,2,1779.372675770793,1779.372675770793,0,200,0.6228659152984619
20,200,40,3,3,1738.395826787687,1738.395826787687,0,200,0.9735064506530762
20,200,40,3,4,2045.9986977978979,2045.9986977978979,0,200,0.7325727939605713
20,200,40,3,5,1759.7463620353856,1759.7463620353856,0,200,0.6960804462432861
20,200,60,2,1,1680.888434602493,1680.888434602493,0,200,0.8029875755310059
20,200,60,2,2,1416.5619223338717,1416.5619223338717,0,200,0.5394515991210938
20,200,60,2,3,1414.4145767373316,1414.4145767373316,0,200,0.5520937442779541
20,200,60,2,4,1416.8014102278971,1416.8014102278971,0,200,0.7225162982940674
20,200,60,2,5,1510.0469889929,1510.0469889929,0,200,0.6665599346160889
20,200,60,3,1,1901.2614156444756,1901.2614156444756,0,200,0.868736982345581
20,200,60,3,2,2512.3305852093204,2512.3305852093204,0,200,0.6440651416778564
20,200,60,3,3,1888.4769915684242,1888.4769915684242,0,200,1.0205566883087158
20,200,60,3,4,1710.4975312144172,1710.4975312144172,0,200,1.0353503227233887
20,200,60,3,5,1597.7076670132726,1597.7076670132726,0,200,0.9306385517120361
20,500,30,2,1,1414.5379055023518,1414.5379055023518,0,500,1.5581765174865723
20,500,30,2,2,2251.1603330937905,2251.1603330937905,0,500,1.5407800674438477
20,500,30,2,3,1610.743293567555,1610.743293567555,0,500,1.4775559902191162
20,500,30,2,4,1414.2903111124272,1414.2903111124272,0,500,1.4694054126739502
20,500,30,2,5,1607.250173429441,1607.250173429441,0,500,1.4016623497009277
20,500,30,3,1,1811.3230507000173,1811.3230507000173,0,500,2.0498604774475098
20,500,30,3,2,1422.0821924942322,1422.0821924942322,0,500,2.0730133056640625
20,500,30,3,3,1421.382880884269,1421.382880884269,0,500,1.7991032600402832
20,500,30,3,4,1505.921153570745,1505.921153570745,0,500,1.9465150833129883
20,500,30,3,5,2102.148266713077,2102.148266713077,0,500,2.3110899925231934
20,500,40,2,1,1426.5040354047887,1426.5040354047887,0,500,1.4295034408569336
20,500,40,2,2,1606.8513588798241,1606.8513588798241,0,500,1.888624906539917
20,500,40,2,3,1414.2981920555135,1414.2981920555135,0,500,2.0310261249542236
20,500,40,2,4,1414.3305687723587,1414.3305687723587,0,500,1.5802814960479736
20,500,40,2,5,1414.6094369328887,1414.6094369328887,0,500,1.5673115253448486
20,500,40,3,1,1652.3233306203708,1652.3233306203708,0,500,2.3489131927490234
20,500,40,3,2,1417.7787526569423,1417.7787526569423,0,500,1.8010585308074951
20,500,40,3,3,1419.8876849780063,1419.8876849780063,0,500,1.9974110126495361
20,500,40,3,4,1892.3367731255873,1892.3367731255873,0,500,1.9299066066741943
20,500,40,3,5,1437.1108588845373,1437.1108588845373,0,500,1.9736080169677734
20,500,60,2,1,1414.485155333464,1414.485155333464,0,500,1.5588700771331787
20,500,60,2,2,1445.3171213234325,1445.3171213234325,0,500,1.490128755569458
20,500,60,2,3,1432.1657795423725,1432.1657795423725,0,500,1.8051538467407227
20,500,60,2,4,1414.2937885578283,1414.2937885578283,0,500,1.653975248336792
20,500,60,2,5,1627.9013809301928,1627.9013809301928,0,500,1.7568132877349854
20,500,60,3,1,1763.2155647130558,1763.2155647130558,0,500,1.8529233932495117
20,500,60,3,2,1988.871479238927,1988.871479238927,0,500,1.9154002666473389
20,500,60,3,3,1702.527394244133,1702.527394244133,0,500,2.0328593254089355
20,500,60,3,4,1982.247475276235,1982.247475276235,0,500,1.7664895057678223
20,500,60,3,5,1653.539687660469,1653.539687660469,0,500,1.8313026428222656
40,200,30,2,1,1414.5893750468367,1414.5893750468367,0,200,0.7104978561401367
40,200,30,2,2,1414.3818890782247,1414.3818890782247,0,200,0.5522620677947998
40,200,30,2,3,1414.6414211717756,1414.6414211717756,0,200,0.6339600086212158
40,200,30,2,4,1415.0325367475248,1415.0325367475248,0,200,0.740511417388916
40,200,30,2,5,1636.0050551380673,1636.0050551380673,0,200,0.5816264152526855
40,200,30,3,1,1718.1744343486512,1718.1744343486512,0,200,0.8785064220428467
40,200,30,3,2,1572.7982586747626,1572.7982586747626,0,200,0.7612862586975098
40,200,30,3,3,1462.0949360102852,1462.0949360102852,0,200,0.8465752601623535
40,200,30,3,4,1704.9839654419302,1704.9839654419302,0,200,0.9535291194915771
40,200,30,3,5,1546.5107485613592,1546.5107485613592,0,200,0.6680514812469482
40,200,40,2,1,1414.4528891626583,1414.4528891626583,0,200,0.6766798496246338
40,200,40,2,2,1414.578921143002,1414.578921143002,0,200,0.5200042724609375
40,200,40,2,3,1452.1122002233942,1452.1122002233942,0,200,0.8011918067932129
40,200,40,2,4,1417.4828277944005,1417.4828277944005,0,200,0.6931633949279785
40,200,40,2,5,1414.2863839379984,1414.2863839379984,0,200,0.5744225978851318
40,200,40,3,1,1462.8207726245291,1462.8207726245291,0,200,0.8982069492340088
40,200,40,3,2,1535.7750121786476,1535.7750121786476,0,200,0.6952331066131592
40,200,40,3,3,1500.8890592778275,1500.8890592778275,0,200,0.8417880535125732
40,200,40,3,4,1443.682216891204,1443.682216891204,0,200,0.9559171199798584
40,200,40,3,5,1643.865388943475,1643.865388943475,0,200,0.7062008380889893
40,200,60,2,1,1415.837956866898,1415.837956866898,0,200,0.6258115768432617
40,200,60,2,2,1416.0882727025207,1416.0882727025207,0,200,0.5544404983520508
40,200,60,2,3,1414.3964055842102,1414.3964055842102,0,200,0.885789155960083
40,200,60,2,4,1607.9505054770705,1607.9505054770705,0,200,0.641319751739502
40,200,60,2,5,1558.1390700426246,1558.1390700426246,0,200,0.5578503608703613
40,200,60,3,1,1439.0463439476857,1439.0463439476857,0,200,1.259598970413208
40,200,60,3,2,1418.3176660711993,1418.3176660711993,0,200,0.6775391101837158
40,200,60,3,3,1704.3780127582925,1704.3780127582925,0,200,0.7828700542449951
40,200,60,3,4,1436.8795743577432,1436.8795743577432,0,200,0.6624598503112793
40,200,60,3,5,1628.5812800532424,1628.5812800532424,0,200,0.866051435470581
40,500,30,2,1,1414.4933998203792,1414.4933998203792,0,500,1.8749704360961914
40,500,30,2,2,1414.735665090598,1414.735665090598,0,500,1.4909899234771729
40,500,30,2,3,1414.3457550253324,1414.3457550253324,0,500,1.8274643421173096
40,500,30,2,4,1414.7954751687853,1414.7954751687853,0,500,1.7742867469787598
40,500,30,2,5,1433.2973461216866,1433.2973461216866,0,500,1.7373402118682861
40,500,30,3,1,1609.6760864105643,1609.6760864105643,0,500,2.0323503017425537
40,500,30,3,2,1418.7773534817247,1418.7773534817247,0,500,2.427494764328003
40,500,30,3,3,1499.0730792067327,1499.0730792067327,0,500,2.1546120643615723
40,500,30,3,4,1414.920559999337,1414.920559999337,0,500,2.0560712814331055
40,500,30,3,5,1428.6621298031894,1428.6621298031894,0,500,1.9703309535980225
40,500,40,2,1,1414.295423184162,1414.295423184162,0,500,1.5318255424499512
40,500,40,2,2,1414.3147562327697,1414.3147562327697,0,500,1.8002612590789795
40,500,40,2,3,1416.092026678068,1416.092026678068,0,500,1.7233827114105225
40,500,40,2,4,1414.6718411328652,1414.6718411328652,0,500,1.4793016910552979
40,500,40,2,5,1416.1269089714394,1416.1269089714394,0,500,1.7432196140289307
40,500,40,3,1,1416.4947803270463,1416.4947803270463,0,500,1.8389863967895508
40,500,40,3,2,1415.1064699740466,1415.1064699740466,0,500,1.8050193786621094
40,500,40,3,3,1495.8445653411766,1495.8445653411766,0,500,2.01629900932312
